case:concept:name,concept:name,time:timestamp
Case 152,register request,2023-09-19 18:43:38
Case 153,register request,2023-09-19 18:43:43
Case 154,register request,2023-09-19 18:43:48
Case 155,register request,2023-09-19 18:43:53
Case 156,register request,2023-09-19 18:43:58
Case 157,register request,2023-09-19 18:44:03
Case 158,register request,2023-09-19 18:44:08
Case 159,register request,2023-09-19 18:44:13
Case 160,register request,2023-09-19 18:44:18
Case 161,register request,2023-09-19 18:44:23
Case 162,register request,2023-09-19 18:44:28
Case 163,register request,2023-09-19 18:44:33
Case 164,register request,2023-09-19 18:44:38
Case 165,register request,2023-09-19 18:44:43
Case 166,register request,2023-09-19 18:44:48
Case 167,register request,2023-09-19 18:44:53
Case 168,register request,2023-09-19 18:44:58
Case 169,register request,2023-09-19 18:45:03
Case 170,register request,2023-09-19 18:45:08
Case 171,register request,2023-09-19 18:45:13
Case 172,register request,2023-09-19 18:45:18
Case 173,register request,2023-09-19 18:45:23
Case 174,register request,2023-09-19 18:45:28
Case 175,register request,2023-09-19 18:45:33
Case 176,register request,2023-09-19 18:45:38
Case 177,register request,2023-09-19 18:45:43
Case 178,register request,2023-09-19 18:45:48
Case 179,register request,2023-09-19 18:45:53
Case 180,register request,2023-09-19 18:45:58
Case 181,register request,2023-09-19 18:46:03
Case 182,register request,2023-09-19 18:46:08
Case 183,register request,2023-09-19 18:46:13
Case 184,register request,2023-09-19 18:46:18
Case 185,register request,2023-09-19 18:46:23
Case 186,register request,2023-09-19 18:46:28
Case 187,register request,2023-09-19 18:46:33
Case 188,register request,2023-09-19 18:46:38
Case 189,register request,2023-09-19 18:46:43
Case 190,register request,2023-09-19 18:46:48
Case 191,register request,2023-09-19 18:46:53
Case 192,register request,2023-09-19 18:46:58
Case 193,register request,2023-09-19 18:47:03
Case 194,register request,2023-09-19 18:47:08
Case 195,register request,2023-09-19 18:47:13
Case 196,register request,2023-09-19 18:47:18
Case 197,register request,2023-09-19 18:47:23
Case 198,register request,2023-09-19 18:47:28
Case 199,register request,2023-09-19 18:47:33
Case 200,register request,2023-09-19 18:47:38
Case 201,register request,2023-09-19 18:47:43
Case 202,register request,2023-09-19 18:47:48
Case 203,register request,2023-09-19 18:47:53
Case 204,register request,2023-09-19 18:47:58
Case 205,register request,2023-09-19 18:48:03
Case 206,register request,2023-09-19 18:48:08
Case 207,register request,2023-09-19 18:48:13
Case 208,register request,2023-09-19 18:48:18
Case 209,register request,2023-09-19 18:48:23
Case 210,register request,2023-09-19 18:48:28
Case 211,register request,2023-09-19 18:48:33
Case 212,register request,2023-09-19 18:48:38
Case 213,register request,2023-09-19 18:48:43
Case 214,register request,2023-09-19 18:48:48
Case 215,register request,2023-09-19 18:48:53
Case 216,register request,2023-09-19 18:48:58
Case 217,register request,2023-09-19 18:49:03
Case 218,register request,2023-09-19 18:49:08
Case 219,register request,2023-09-19 18:49:13
Case 220,register request,2023-09-19 18:49:18
Case 221,register request,2023-09-19 18:49:23
Case 222,register request,2023-09-19 18:49:28
Case 223,register request,2023-09-19 18:49:33
Case 224,register request,2023-09-19 18:49:38
Case 225,register request,2023-09-19 18:49:43
Case 226,register request,2023-09-19 18:49:48
Case 227,register request,2023-09-19 18:49:53
Case 228,register request,2023-09-19 18:49:58
Case 229,register request,2023-09-19 18:50:03
Case 230,register request,2023-09-19 18:50:08
Case 231,register request,2023-09-19 18:50:13
Case 232,register request,2023-09-19 18:50:18
Case 233,register request,2023-09-19 18:50:23
Case 234,register request,2023-09-19 18:50:28
Case 235,register request,2023-09-19 18:50:33
Case 236,register request,2023-09-19 18:50:38
Case 237,register request,2023-09-19 18:50:43
Case 238,register request,2023-09-19 18:50:48
Case 239,register request,2023-09-19 18:50:53
Case 240,register request,2023-09-19 18:50:58
Case 241,register request,2023-09-19 18:51:03
Case 242,register request,2023-09-19 18:51:08
Case 243,register request,2023-09-19 18:51:13
Case 244,register request,2023-09-19 18:51:18
Case 245,register request,2023-09-19 18:51:23
Case 246,register request,2023-09-19 18:51:28
Case 247,register request,2023-09-19 18:51:33
Case 248,register request,2023-09-19 18:51:38
Case 249,register request,2023-09-19 18:51:43
Case 250,register request,2023-09-19 18:51:48
Case 251,register request,2023-09-19 18:51:53
Case 252,register request,2023-09-19 18:51:58
Case 253,register request,2023-09-19 18:52:03
Case 254,register request,2023-09-19 18:52:08
Case 255,register request,2023-09-19 18:52:13
Case 256,register request,2023-09-19 18:52:18
Case 257,register request,2023-09-19 18:52:23
Case 258,register request,2023-09-19 18:52:28
Case 259,register request,2023-09-19 18:52:33
Case 260,register request,2023-09-19 18:52:38
Case 261,register request,2023-09-19 18:52:43
Case 262,register request,2023-09-19 18:52:48
Case 263,register request,2023-09-19 18:52:53
Case 264,register request,2023-09-19 18:52:58
Case 265,register request,2023-09-19 18:53:03
Case 266,register request,2023-09-19 18:53:08
Case 267,register request,2023-09-19 18:53:13
Case 268,register request,2023-09-19 18:53:18
Case 269,register request,2023-09-19 18:53:23
Case 270,register request,2023-09-19 18:53:28
Case 271,register request,2023-09-19 18:53:33
Case 272,register request,2023-09-19 18:53:38
Case 273,register request,2023-09-19 18:53:43
Case 274,register request,2023-09-19 18:53:48
Case 275,register request,2023-09-19 18:53:53
Case 276,register request,2023-09-19 18:53:58
Case 277,register request,2023-09-19 18:54:03
Case 278,register request,2023-09-19 18:54:08
Case 279,register request,2023-09-19 18:54:13
Case 280,register request,2023-09-19 18:54:18
Case 281,register request,2023-09-19 18:54:23
Case 282,register request,2023-09-19 18:54:28
Case 283,register request,2023-09-19 18:54:33
Case 284,register request,2023-09-19 18:54:38
Case 285,register request,2023-09-19 18:54:43
Case 286,register request,2023-09-19 18:54:48
Case 287,register request,2023-09-19 18:54:53
Case 288,register request,2023-09-19 18:54:58
Case 289,register request,2023-09-19 18:55:03
Case 290,register request,2023-09-19 18:55:08
Case 291,register request,2023-09-19 18:55:13
Case 292,register request,2023-09-19 18:55:18
Case 293,register request,2023-09-19 18:55:23
Case 294,register request,2023-09-19 18:55:28
Case 295,register request,2023-09-19 18:55:33
Case 296,register request,2023-09-19 18:55:38
Case 297,register request,2023-09-19 18:55:43
Case 298,register request,2023-09-19 18:55:48
Case 299,register request,2023-09-19 18:55:53
Case 300,register request,2023-09-19 18:55:58
Case 301,register request,2023-09-19 18:56:03
Case 1,check ticket,2023-09-19 18:56:03
Case 302,register request,2023-09-19 18:56:08
Case 2,examine casually,2023-09-19 18:56:08
Case 303,register request,2023-09-19 18:56:13
Case 3,check ticket,2023-09-19 18:56:13
Case 304,register request,2023-09-19 18:56:18
Case 4,check ticket,2023-09-19 18:56:18
Case 305,register request,2023-09-19 18:56:23
Case 5,examine thoroughly,2023-09-19 18:56:23
Case 306,register request,2023-09-19 18:56:28
Case 6,examine casually,2023-09-19 18:56:28
Case 307,register request,2023-09-19 18:56:33
Case 7,examine thoroughly,2023-09-19 18:56:33
Case 308,register request,2023-09-19 18:56:38
Case 8,examine thoroughly,2023-09-19 18:56:38
Case 309,register request,2023-09-19 18:56:43
Case 9,examine thoroughly,2023-09-19 18:56:43
Case 310,register request,2023-09-19 18:56:48
Case 10,examine casually,2023-09-19 18:56:48
Case 311,register request,2023-09-19 18:56:53
Case 11,examine casually,2023-09-19 18:56:53
Case 312,register request,2023-09-19 18:56:58
Case 12,check ticket,2023-09-19 18:56:58
Case 313,register request,2023-09-19 18:57:03
Case 13,examine casually,2023-09-19 18:57:03
Case 314,register request,2023-09-19 18:57:08
Case 14,examine thoroughly,2023-09-19 18:57:08
Case 315,register request,2023-09-19 18:57:13
Case 15,check ticket,2023-09-19 18:57:13
Case 316,register request,2023-09-19 18:57:18
Case 16,examine casually,2023-09-19 18:57:18
Case 317,register request,2023-09-19 18:57:23
Case 17,examine casually,2023-09-19 18:57:23
Case 318,register request,2023-09-19 18:57:28
Case 18,examine casually,2023-09-19 18:57:28
Case 319,register request,2023-09-19 18:57:33
Case 19,examine thoroughly,2023-09-19 18:57:33
Case 320,register request,2023-09-19 18:57:38
Case 20,examine thoroughly,2023-09-19 18:57:38
Case 321,register request,2023-09-19 18:57:43
Case 21,examine casually,2023-09-19 18:57:43
Case 322,register request,2023-09-19 18:57:48
Case 22,examine casually,2023-09-19 18:57:48
Case 323,register request,2023-09-19 18:57:53
Case 23,examine thoroughly,2023-09-19 18:57:53
Case 324,register request,2023-09-19 18:57:58
Case 24,check ticket,2023-09-19 18:57:58
Case 325,register request,2023-09-19 18:58:03
Case 25,examine casually,2023-09-19 18:58:03
Case 326,register request,2023-09-19 18:58:08
Case 26,examine casually,2023-09-19 18:58:08
Case 327,register request,2023-09-19 18:58:13
Case 27,examine thoroughly,2023-09-19 18:58:13
Case 328,register request,2023-09-19 18:58:18
Case 28,check ticket,2023-09-19 18:58:18
Case 329,register request,2023-09-19 18:58:23
Case 29,examine thoroughly,2023-09-19 18:58:23
Case 330,register request,2023-09-19 18:58:28
Case 30,examine casually,2023-09-19 18:58:28
Case 331,register request,2023-09-19 18:58:33
Case 31,examine casually,2023-09-19 18:58:33
Case 332,register request,2023-09-19 18:58:38
Case 32,check ticket,2023-09-19 18:58:38
Case 333,register request,2023-09-19 18:58:43
Case 33,check ticket,2023-09-19 18:58:43
Case 334,register request,2023-09-19 18:58:48
Case 34,examine casually,2023-09-19 18:58:48
Case 335,register request,2023-09-19 18:58:53
Case 35,examine thoroughly,2023-09-19 18:58:53
Case 336,register request,2023-09-19 18:58:58
Case 36,examine thoroughly,2023-09-19 18:58:58
Case 337,register request,2023-09-19 18:59:03
Case 37,examine casually,2023-09-19 18:59:03
Case 338,register request,2023-09-19 18:59:08
Case 38,examine casually,2023-09-19 18:59:08
Case 339,register request,2023-09-19 18:59:13
Case 39,examine casually,2023-09-19 18:59:13
Case 340,register request,2023-09-19 18:59:18
